impl,rowsA,colsA,rowsB,colsB,run,real_s,user_s,sys_s,maxrss_kb
seq,5,4,4,5,1,0:00.00,0.00,0.00,1536
seq,5,4,4,5,2,0:00.00,0.00,0.00,1536
seq,5,4,4,5,3,0:00.00,0.00,0.00,1536
omp,5,4,4,5,1,0:00.00,0.00,0.00,1920
omp,5,4,4,5,2,0:00.00,0.00,0.00,2048
omp,5,4,4,5,3,0:00.00,0.00,0.00,2048
thread2,5,4,4,5,1,0:00.00,0.00,0.00,1920
thread2,5,4,4,5,2,0:00.00,0.00,0.00,1792
thread2,5,4,4,5,3,0:00.00,0.00,0.00,1792
sort_seq,NA,NA,NA,NA,1,0:00.00,0.00,0.00,1536
sort_seq,NA,NA,NA,NA,2,0:00.00,0.00,0.00,1536
sort_seq,NA,NA,NA,NA,3,0:00.00,0.00,0.00,1536
sort_pthread,NA,NA,NA,NA,1,0:00.00,0.00,0.00,1536
sort_pthread,NA,NA,NA,NA,2,0:00.00,0.00,0.00,1536
sort_pthread,NA,NA,NA,NA,3,0:00.00,0.00,0.00,1536
sort_omp,NA,NA,NA,NA,1,0:00.00,0.00,0.00,1920
sort_omp,NA,NA,NA,NA,2,0:00.00,0.00,0.00,1920
sort_omp,NA,NA,NA,NA,3,0:00.00,0.00,0.00,1792
seq,10,10,10,10,1,0:00.00,0.00,0.00,1536
seq,10,10,10,10,2,0:00.00,0.00,0.00,1536
seq,10,10,10,10,3,0:00.00,0.00,0.00,1536
omp,10,10,10,10,1,0:00.00,0.00,0.00,2048
omp,10,10,10,10,2,0:00.00,0.00,0.00,2048
omp,10,10,10,10,3,0:00.00,0.00,0.00,2048
thread2,10,10,10,10,1,0:00.00,0.00,0.00,1792
thread2,10,10,10,10,2,0:00.00,0.00,0.00,1792
thread2,10,10,10,10,3,0:00.00,0.00,0.00,1792
sort_seq,NA,NA,NA,NA,1,0:00.00,0.00,0.00,1536
sort_seq,NA,NA,NA,NA,2,0:00.00,0.00,0.00,1536
sort_seq,NA,NA,NA,NA,3,0:00.00,0.00,0.00,1536
sort_pthread,NA,NA,NA,NA,1,0:00.00,0.00,0.00,1536
sort_pthread,NA,NA,NA,NA,2,0:00.00,0.00,0.00,1536
sort_pthread,NA,NA,NA,NA,3,0:00.00,0.00,0.00,1536
sort_omp,NA,NA,NA,NA,1,0:00.00,0.00,0.00,2048
sort_omp,NA,NA,NA,NA,2,0:00.00,0.00,0.00,1920
sort_omp,NA,NA,NA,NA,3,0:00.00,0.00,0.00,2048
seq,500,500,500,500,1,0:00.46,0.46,0.01,7424
seq,500,500,500,500,2,0:00.47,0.47,0.01,7424
seq,500,500,500,500,3,0:00.49,0.50,0.00,7424
omp,500,500,500,500,1,0:00.42,0.68,0.01,7680
omp,500,500,500,500,2,0:00.39,0.60,0.01,7808
omp,500,500,500,500,3,0:00.39,0.60,0.01,7936
thread2,500,500,500,500,1,0:00.40,0.59,0.00,7808
thread2,500,500,500,500,2,0:00.40,0.58,0.01,7680
thread2,500,500,500,500,3,0:00.39,0.60,0.00,7680
sort_seq,NA,NA,NA,NA,1,0:00.03,0.02,0.00,5120
sort_seq,NA,NA,NA,NA,2,0:00.03,0.02,0.00,5248
sort_seq,NA,NA,NA,NA,3,0:00.03,0.02,0.00,5248
sort_pthread,NA,NA,NA,NA,1,0:00.01,0.03,0.00,4820
sort_pthread,NA,NA,NA,NA,2,0:00.01,0.03,0.00,4608
sort_pthread,NA,NA,NA,NA,3,0:00.01,0.03,0.00,4608
sort_omp,NA,NA,NA,NA,1,0:00.03,0.04,0.00,5504
sort_omp,NA,NA,NA,NA,2,0:00.02,0.03,0.00,5632
sort_omp,NA,NA,NA,NA,3,0:00.03,0.03,0.00,5376
seq,1000,1000,1000,1000,1,0:03.61,3.59,0.04,24960
omp,1000,1000,1000,1000,1,0:04.67,12.85,0.04,25216
thread2,1000,1000,1000,1000,1,0:04.68,13.46,0.04,25088
sort_seq,NA,NA,NA,NA,1,0:00.13,0.12,0.01,16896
sort_pthread,NA,NA,NA,NA,1,0:00.06,0.18,0.02,14604
sort_omp,NA,NA,NA,NA,1,0:00.13,0.15,0.01,17280
seq,2000,2000,2000,2000,1,0:59.75,59.48,0.18,95360
omp,2000,2000,2000,2000,1,0:37.00,128.78,0.15,95744
thread2,2000,2000,2000,2000,1,0:40.46,145.50,0.19,95488
sort_seq,NA,NA,NA,NA,1,0:00.65,0.60,0.04,63872
sort_pthread,NA,NA,NA,NA,1,0:00.29,0.97,0.05,60544
sort_omp,NA,NA,NA,NA,1,0:00.63,0.64,0.04,64256
